what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1366849573973
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1366849573974
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1366849573975
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1366849573977
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1366849573978
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1366849573978
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1366849573979
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1366849573979
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1366849573980
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1366849573981
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1366849573982
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1366849573984
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366849573985
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366849573985
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1366849573986
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1366849573987
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1366849573989
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1366849573989
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1366849573990
os,sysinfo,,,"win32",1366849573995
arch,sysinfo,,,"x86_64",1366849573995
ws,sysinfo,,,"win32",1366849573995
locale,sysinfo,,,"en_US",1366849573995
processors,sysinfo,,,"4",1366849573995
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366849573995
java.runtime.version,sysinfo,,,"1.7.0_17-b02",1366849573995
java.specification.name,sysinfo,,,"Java Platform API Specification",1366849573995
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366849573995
java.specification.version,sysinfo,,,"1.7",1366849573995
java.vendor,sysinfo,,,"Oracle Corporation",1366849573995
java.version,sysinfo,,,"1.7.0_17",1366849573995
java.vm.info,sysinfo,,,"mixed mode",1366849573995
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1366849573995
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366849573995
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366849573995
java.vm.specification.version,sysinfo,,,"1.7",1366849573995
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366849573995
java.vm.version,sysinfo,,,"23.7-b01",1366849573995
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1366849574632
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366849574633
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1366849574764
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1366849574893
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1366849574950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1366849582373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366849587638
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366849607462
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366849607672
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1366849608385
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1366849608393
